,algorithm,n_neighbors,n_neighbors_best,n_clusters,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,kmeans,10,,129,euclidean,pearson,0.9884231934105786,1.1764261877012687,0.28125,0.3878175171090637,0.5285840647255525,0.421875,0.5529411764705882,0.6777777777777779,0.203125,0.4024509803921569,0.6584876543209878
1,kmeans,20,,99,euclidean,pearson,0.9794848998991776,1.1701120517095618,0.28125,0.3815238034404012,0.5208694845103551,0.421875,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
2,kmeans,30,,93,euclidean,pearson,0.9869033222973528,1.176076288736156,0.3125,0.4171880940295946,0.5615802875599769,0.4375,0.5529411764705882,0.6777777777777779,0.21875,0.4024509803921569,0.6584876543209878
3,kmeans,40,,85,euclidean,pearson,0.9856448163001538,1.1719950535285084,0.28125,0.3968385680819002,0.5295623166269734,0.453125,0.5823529411764705,0.7333333333333335,0.21875,0.4024509803921569,0.6584876543209878
4,kmeans,50,,79,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
5,kmeans,60,,72,euclidean,pearson,0.9896086959392404,1.175452428929946,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
6,kmeans,30,,53,jaccard,pearson,1.028238118691247,1.2002898655809928,0.40625,0.371802784891604,0.3167545365772249,0.4375,0.58,0.5833333333333334,0.21875,0.31,0.2223765432098765
0,kmeans,10,,190,euclidean,pearson,0.9853242573271572,1.1720275798978133,0.34375,0.4321472714870874,0.5620172542447084,0.453125,0.5529411764705882,0.6777777777777779,0.234375,0.4024509803921569,0.6584876543209878
1,kmeans,20,,102,euclidean,pearson,0.9834435701692366,1.1725613454707111,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
2,kmeans,30,,86,euclidean,pearson,0.9856448163001538,1.1719950535285084,0.28125,0.3968385680819002,0.5295623166269734,0.453125,0.5823529411764705,0.7333333333333335,0.21875,0.4024509803921569,0.6584876543209878
3,kmeans,40,,82,euclidean,pearson,0.9848831392754888,1.171986074907641,0.296875,0.4118015183145598,0.5406880187266276,0.453125,0.5941176470588235,0.7333333333333335,0.21875,0.4142156862745098,0.6584876543209878
4,kmeans,50,,75,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
5,kmeans,60,,72,euclidean,pearson,0.9896086959392404,1.175452428929946,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
6,kmeans,30,,49,jaccard,pearson,1.002268035634178,1.153265077169575,0.421875,0.4466750136489712,0.4387588901378662,0.46875,0.513978494623656,0.635,0.25,0.3419354838709677,0.3399999999999999
0,kmeans,10,,131,euclidean,pearson,0.9884231934105786,1.1764261877012687,0.28125,0.3878175171090637,0.5285840647255525,0.421875,0.5529411764705882,0.6777777777777779,0.203125,0.4024509803921569,0.6584876543209878
1,kmeans,20,,99,euclidean,pearson,0.9794848998991776,1.1701120517095618,0.28125,0.3815238034404012,0.5208694845103551,0.421875,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
2,kmeans,30,,86,euclidean,pearson,0.9856448163001538,1.1719950535285084,0.28125,0.3968385680819002,0.5295623166269734,0.453125,0.5823529411764705,0.7333333333333335,0.21875,0.4024509803921569,0.6584876543209878
3,kmeans,40,,83,euclidean,pearson,0.9856448163001538,1.1719950535285084,0.28125,0.3968385680819002,0.5295623166269734,0.453125,0.5823529411764705,0.7333333333333335,0.21875,0.4024509803921569,0.6584876543209878
4,kmeans,50,,73,euclidean,pearson,0.9896086959392404,1.175452428929946,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
5,kmeans,60,,72,euclidean,pearson,0.9896086959392404,1.175452428929946,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
6,kmeans,30,,58,jaccard,pearson,1.0238691815107683,1.166190675191929,0.328125,0.436673775745061,0.3578627317033848,0.484375,0.6952380952380951,0.7578947368421052,0.171875,0.3928571428571428,0.2578947368421053
0,kmeans,10,,196,euclidean,pearson,0.9853242573271572,1.1720275798978133,0.34375,0.4321472714870874,0.5620172542447084,0.453125,0.5529411764705882,0.6777777777777779,0.234375,0.4024509803921569,0.6584876543209878
1,kmeans,20,,104,euclidean,pearson,0.9834435701692366,1.1725613454707111,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
2,kmeans,30,,87,euclidean,pearson,0.9892609062582002,1.1750222789068951,0.28125,0.3914991035955075,0.5295623166269734,0.453125,0.5823529411764705,0.7333333333333335,0.21875,0.4024509803921569,0.6584876543209878
3,kmeans,40,,86,euclidean,pearson,0.9856448163001538,1.1719950535285084,0.28125,0.3968385680819002,0.5295623166269734,0.453125,0.5823529411764705,0.7333333333333335,0.21875,0.4024509803921569,0.6584876543209878
4,kmeans,50,,80,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
5,kmeans,60,,75,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
6,kmeans,30,,55,jaccard,pearson,0.9856746999614004,1.121479149926229,0.328125,0.4188932162549403,0.4084689237260279,0.5,0.6363636363636364,0.7200000000000001,0.21875,0.3575757575757576,0.4133333333333333
0,kmeans,10,,132,euclidean,pearson,0.9884231934105786,1.1764261877012687,0.28125,0.3878175171090637,0.5285840647255525,0.421875,0.5529411764705882,0.6777777777777779,0.203125,0.4024509803921569,0.6584876543209878
1,kmeans,20,,106,euclidean,pearson,0.9834435701692366,1.1725613454707111,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
2,kmeans,30,,101,euclidean,pearson,0.9834435701692366,1.1725613454707111,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
3,kmeans,40,,80,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
4,kmeans,50,,79,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
5,kmeans,60,,73,euclidean,pearson,0.9896086959392404,1.175452428929946,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
6,kmeans,30,,57,jaccard,pearson,0.9833774748280306,1.1443640800670285,0.375,0.3792078536790148,0.3224386984238125,0.453125,0.5573529411764706,0.5058823529411764,0.265625,0.3691176470588235,0.2823529411764706
0,kmeans,10,,122,euclidean,pearson,0.9834435701692366,1.1725613454707111,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
1,kmeans,20,,104,euclidean,pearson,0.9834435701692366,1.1725613454707111,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
2,kmeans,30,,94,euclidean,pearson,0.9869033222973528,1.176076288736156,0.3125,0.4171880940295946,0.5615802875599769,0.4375,0.5529411764705882,0.6777777777777779,0.21875,0.4024509803921569,0.6584876543209878
3,kmeans,40,,88,euclidean,pearson,0.9892609062582002,1.1750222789068951,0.28125,0.3914991035955075,0.5295623166269734,0.453125,0.5823529411764705,0.7333333333333335,0.21875,0.4024509803921569,0.6584876543209878
4,kmeans,50,,76,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
5,kmeans,60,,77,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
6,kmeans,30,,59,jaccard,pearson,1.0094257810777336,1.1848103746156469,0.4375,0.4269877550817116,0.4892470895382974,0.4375,0.6051282051282053,0.6681818181818181,0.21875,0.3589743589743589,0.2811868686868686
0,kmeans,10,,153,euclidean,pearson,0.993142214545724,1.1779523564146916,0.28125,0.4027804673417233,0.5432646546647726,0.421875,0.5588235294117646,0.6833333333333335,0.203125,0.4083333333333333,0.6646604938271605
1,kmeans,20,,100,euclidean,pearson,0.9845453329897492,1.173576787913729,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
2,kmeans,30,,96,euclidean,pearson,0.9795405740857944,1.1704396639600587,0.28125,0.3815238034404012,0.5208694845103551,0.421875,0.5705882352941176,0.7055555555555557,0.203125,0.3906862745098039,0.63070987654321
3,kmeans,40,,101,euclidean,pearson,0.9834435701692366,1.1725613454707111,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
4,kmeans,50,,92,euclidean,pearson,0.9869033222973528,1.176076288736156,0.3125,0.4171880940295946,0.5615802875599769,0.4375,0.5529411764705882,0.6777777777777779,0.21875,0.4024509803921569,0.6584876543209878
5,kmeans,60,,72,euclidean,pearson,0.9896086959392404,1.175452428929946,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
6,kmeans,30,,60,jaccard,pearson,0.9194217271876411,1.0310133567962043,0.46875,0.5410189480073796,0.5267878449477069,0.5625,0.6955128205128206,0.741025641025641,0.3125,0.4673076923076923,0.5068376068376069
0,kmeans,10,,134,euclidean,pearson,0.9880610786604378,1.1763600720511371,0.296875,0.3977928172641701,0.5367356116254813,0.421875,0.5529411764705882,0.6777777777777779,0.203125,0.4024509803921569,0.6584876543209878
1,kmeans,20,,103,euclidean,pearson,0.9834435701692366,1.1725613454707111,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
2,kmeans,30,,97,euclidean,pearson,0.9795405740857944,1.1704396639600587,0.28125,0.3815238034404012,0.5208694845103551,0.421875,0.5705882352941176,0.7055555555555557,0.203125,0.3906862745098039,0.63070987654321
3,kmeans,40,,91,euclidean,pearson,0.9794858065269908,1.1701128867388766,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.21875,0.4024509803921569,0.6584876543209878
4,kmeans,50,,76,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
5,kmeans,60,,81,euclidean,pearson,0.9848831392754888,1.171986074907641,0.296875,0.4118015183145598,0.5406880187266276,0.453125,0.5941176470588235,0.7333333333333335,0.21875,0.4142156862745098,0.6584876543209878
6,kmeans,30,,60,jaccard,pearson,1.0081204770343657,1.1669167386440202,0.375,0.3807040516424194,0.3061462053270906,0.421875,0.6088888888888889,0.5481481481481482,0.203125,0.3316666666666666,0.2055555555555555
0,kmeans,10,,140,euclidean,pearson,0.9883289912401606,1.1763288163499188,0.28125,0.3878175171090637,0.5285840647255525,0.421875,0.5529411764705882,0.6777777777777779,0.203125,0.4024509803921569,0.6584876543209878
1,kmeans,20,,104,euclidean,pearson,0.9834435701692366,1.1725613454707111,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
2,kmeans,30,,98,euclidean,pearson,0.9794848998991776,1.1701120517095618,0.28125,0.3815238034404012,0.5208694845103551,0.421875,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
3,kmeans,40,,95,euclidean,pearson,0.9795405740857944,1.1704396639600587,0.28125,0.3815238034404012,0.5208694845103551,0.421875,0.5705882352941176,0.7055555555555557,0.203125,0.3906862745098039,0.63070987654321
4,kmeans,50,,80,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
5,kmeans,60,,78,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
6,kmeans,30,,57,jaccard,pearson,0.9458435263121278,1.1383971979853662,0.40625,0.3801056326710417,0.4443387584832642,0.40625,0.3842105263157894,0.480128205128205,0.203125,0.2201754385964912,0.3030982905982906
0,kmeans,10,,194,euclidean,pearson,0.9853242573271572,1.1720275798978133,0.34375,0.4321472714870874,0.5620172542447084,0.453125,0.5529411764705882,0.6777777777777779,0.234375,0.4024509803921569,0.6584876543209878
1,kmeans,20,,92,euclidean,pearson,0.9869033222973528,1.176076288736156,0.3125,0.4171880940295946,0.5615802875599769,0.4375,0.5529411764705882,0.6777777777777779,0.21875,0.4024509803921569,0.6584876543209878
2,kmeans,30,,78,euclidean,pearson,0.9846290726978982,1.17175809573985,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
3,kmeans,40,,72,euclidean,pearson,0.9896086959392404,1.175452428929946,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
4,kmeans,50,,72,euclidean,pearson,0.9896086959392404,1.175452428929946,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
