Dataset,Approach,MAE,RMSE,NDCG@1,NDCG@5,NDCG@10,PRECISION@1,PRECISION@5,PRECISION@10,RECALL@1,RECALL@5,RECALL@10
AMZ-MS,User-KNN,$1.0200 \pm 0.0649$,$1.1673 \pm 0.0715$,$0.3016 \pm 0.0479$,$0.3506 \pm 0.0542$,$0.3088 \pm 0.0693$,$\mathbf{0.4898 \pm 0.0537}$,$\mathbf{0.6014 \pm 0.0600}$,$0.6030 \pm 0.0782$,$0.2273 \pm 0.0493$,$0.3288 \pm 0.0689$,$0.2702 \pm 0.0847$
AMZ-MS,$k$-Means,$1.0069 \pm 0.0543$,$1.1604 \pm 0.0624$,$0.3922 \pm 0.0464$,$0.4291 \pm 0.0435$,$0.4015 \pm 0.0698$,$0.4586 \pm 0.0487$,$0.5742 \pm 0.0805$,$0.5937 \pm 0.1018$,$0.2242 \pm 0.0305$,$0.3395 \pm 0.0663$,$0.2997 \pm 0.0874$
AMZ-MS,OPF,$1.0047 \pm 0.0542$,$1.1618 \pm 0.0608$,$\mathbf{0.4641 \pm 0.0520}$,$0.4945 \pm 0.0481$,$0.4607 \pm 0.0727$,$0.4453 \pm 0.0624$,$0.5616 \pm 0.0730$,$0.5827 \pm 0.0903$,$0.2359 \pm 0.0456$,$0.3517 \pm 0.0658$,$0.3151 \pm 0.0864$
AMZ-MS,OPF$_{SNN}$,$\mathbf{1.0012 \pm 0.0501}$,$\mathbf{1.1587 \pm 0.0567}$,$0.4430 \pm 0.0583$,$\mathbf{0.5019 \pm 0.0575}$,$\mathbf{0.4935 \pm 0.0694}$,$0.4367 \pm 0.0440$,$0.5518 \pm 0.0735$,$0.5686 \pm 0.0958$,$\mathbf{0.2375 \pm 0.0353}$,$\mathbf{0.3543 \pm 0.0703}$,$\mathbf{0.3237 \pm 0.0816}$
AMZ-MS,DBSCAN,$1.0149 \pm 0.0516$,$1.1748 \pm 0.0610$,$0.4570 \pm 0.0722$,$0.4861 \pm 0.0581$,$0.4392 \pm 0.0452$,$0.4367 \pm 0.0636$,$0.5631 \pm 0.0661$,$0.5790 \pm 0.0730$,$0.2336 \pm 0.0460$,$0.3419 \pm 0.0661$,$0.2927 \pm 0.0599$
ML-100K,User-KNN,$0.8459 \pm 0.0366$,$1.0053 \pm 0.0392$,$0.3277 \pm 0.0567$,$0.4531 \pm 0.0490$,$0.5054 \pm 0.0537$,$0.4723 \pm 0.0593$,$0.5989 \pm 0.0520$,$0.6797 \pm 0.0457$,$0.2223 \pm 0.0455$,$0.3155 \pm 0.0466$,$0.3227 \pm 0.0531$
ML-100K,$k$-Means,$0.7185 \pm 0.0315$,$0.8605 \pm 0.0383$,$0.4319 \pm 0.0652$,$0.5473 \pm 0.0397$,$0.5762 \pm 0.0537$,$0.5266 \pm 0.0464$,$0.6654 \pm 0.0420$,$0.7274 \pm 0.0442$,$0.2995 \pm 0.0380$,$0.3740 \pm 0.0386$,$\mathbf{0.3687 \pm 0.0436}$
ML-100K,OPF,$0.8469 \pm 0.0293$,$1.0047 \pm 0.0342$,$0.2707 \pm 0.0568$,$0.3455 \pm 0.0407$,$0.3626 \pm 0.0445$,$0.5149 \pm 0.0596$,$0.6244 \pm 0.0621$,$0.6920 \pm 0.0659$,$0.2170 \pm 0.0481$,$0.2523 \pm 0.0366$,$0.2590 \pm 0.0487$
ML-100K,OPF$_{SNN}$,$0.6509 \pm 0.0224$,$0.7818 \pm 0.0274$,$0.4739 \pm 0.0649$,$0.5821 \pm 0.0479$,$0.6188 \pm 0.0537$,$0.5606 \pm 0.0520$,$0.7052 \pm 0.0473$,$0.7677 \pm 0.0375$,$0.3176 \pm 0.0409$,$0.3732 \pm 0.0435$,$0.3526 \pm 0.0441$
ML-100K,DBSCAN,$\mathbf{0.5827 \pm 0.0251}$,$\mathbf{0.6960 \pm 0.0296}$,$\mathbf{0.5766 \pm 0.0623}$,$\mathbf{0.6833 \pm 0.0473}$,$\mathbf{0.7190 \pm 0.0596}$,$\mathbf{0.6426 \pm 0.0556}$,$\mathbf{0.8093 \pm 0.0371}$,$\mathbf{0.8772 \pm 0.0319}$,$\mathbf{0.3420 \pm 0.0610}$,$\mathbf{0.3869 \pm 0.0407}$,$0.3589 \pm 0.0546$
ML-LS,User-KNN,$0.7498 \pm 0.0367$,$0.9075 \pm 0.0446$,$0.3426 \pm 0.0959$,$0.4198 \pm 0.0497$,$0.4439 \pm 0.0671$,$0.4385 \pm 0.0534$,$0.5450 \pm 0.0569$,$0.5578 \pm 0.0737$,$0.2451 \pm 0.0533$,$0.3041 \pm 0.0425$,$0.3064 \pm 0.0671$
ML-LS,$k$-Means,$0.6403 \pm 0.0453$,$0.7793 \pm 0.0481$,$0.4770 \pm 0.0685$,$0.5389 \pm 0.0641$,$0.5558 \pm 0.0613$,$0.5148 \pm 0.0533$,$0.6484 \pm 0.0730$,$0.6487 \pm 0.0814$,$0.3139 \pm 0.0395$,$0.3687 \pm 0.0570$,$0.3592 \pm 0.0567$
ML-LS,OPF,$0.5482 \pm 0.0340$,$0.6675 \pm 0.0419$,$0.5516 \pm 0.0595$,$0.6144 \pm 0.0545$,$0.6284 \pm 0.0560$,$0.5705 \pm 0.0591$,$0.7278 \pm 0.0594$,$0.7393 \pm 0.0740$,$\mathbf{0.3410 \pm 0.0559}$,$\mathbf{0.3920 \pm 0.0517}$,$0.3779 \pm 0.0608$
ML-LS,OPF$_{SNN}$,$0.6016 \pm 0.0354$,$0.7313 \pm 0.0388$,$0.4861 \pm 0.0912$,$0.5422 \pm 0.0657$,$0.5484 \pm 0.0677$,$0.5164 \pm 0.0531$,$0.6399 \pm 0.0620$,$0.6564 \pm 0.0670$,$0.3197 \pm 0.0591$,$0.3619 \pm 0.0665$,$0.3529 \pm 0.0706$
ML-LS,DBSCAN,$\mathbf{0.5409 \pm 0.0325}$,$\mathbf{0.6582 \pm 0.0393}$,$\mathbf{0.5566 \pm 0.0644}$,$\mathbf{0.6215 \pm 0.0508}$,$\mathbf{0.6368 \pm 0.0540}$,$\mathbf{0.5754 \pm 0.0408}$,$\mathbf{0.7304 \pm 0.0487}$,$\mathbf{0.7456 \pm 0.0629}$,$0.3377 \pm 0.0566$,$0.3907 \pm 0.0502$,$\mathbf{0.3796 \pm 0.0596}$
