,run,kmax,kbest,nclusters,density,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,17219,10,10,133,pdf,cosine,pearson,1.1547643620769883,1.3242637022421426,0.28125,0.30228082983667043,0.20941490832287823,0.484375,0.6685714285714286,0.6941176470588236,0.140625,0.2647619047619048,0.17647058823529413
0,17219,10,6,198,pdf,euclidean,pearson,1.16494744408878,1.333635987776961,0.3125,0.31233890952274596,0.19559583803022834,0.515625,0.5980952380952382,0.5450980392156862,0.21875,0.27619047619047615,0.17058823529411768
0,17219,10,9,70,pdf,jaccard,pearson,1.1414257778973005,1.316758228098729,0.40625,0.376120173603029,0.32318209275891435,0.421875,0.5371428571428571,0.4294117647058823,0.21875,0.2928571428571429,0.19558823529411762
0,17219,10,7,179,pdf,pearson,pearson,1.1749461801663137,1.341576746042794,0.3125,0.2955714179303886,0.18679023796377442,0.46875,0.6371428571428571,0.6588235294117648,0.1875,0.2985714285714286,0.18529411764705883
0,17219,10,8,142,pdf,squared_euclidean,pearson,1.1580309679829013,1.3269751312020688,0.296875,0.3266453339013016,0.21578304510955026,0.515625,0.6242857142857143,0.5911764705882353,0.203125,0.27619047619047615,0.18382352941176472
0,17219,20,18,76,pdf,cosine,pearson,1.1711096739906361,1.3364820064657361,0.28125,0.290227006737352,0.18385118796258423,0.4375,0.582857142857143,0.5764705882352942,0.140625,0.2647619047619048,0.18382352941176472
0,17219,20,15,103,pdf,euclidean,pearson,1.1571924825756326,1.3275567956549907,0.3125,0.32941184186862776,0.23363327104711765,0.5,0.582857142857143,0.538235294117647,0.1875,0.2647619047619048,0.18970588235294117
0,17219,20,20,57,pdf,jaccard,pearson,1.1578138335317707,1.3364708508394614,0.515625,0.48190017035956295,0.4399691398151861,0.46875,0.5642857142857143,0.4892156862745098,0.234375,0.31714285714285717,0.225
0,17219,20,20,90,pdf,pearson,pearson,1.1574372588958532,1.327468270457206,0.34375,0.3763466595732453,0.2708636910801889,0.4375,0.6057142857142856,0.5490196078431372,0.171875,0.3061904761904762,0.19558823529411765
0,17219,20,16,81,pdf,squared_euclidean,pearson,1.1517735570325944,1.3229355432306797,0.375,0.34405804334471385,0.2655922223841043,0.484375,0.5785714285714286,0.48235294117647054,0.203125,0.2804761904761905,0.17794117647058824
0,17219,30,26,72,pdf,cosine,pearson,1.1729093267034008,1.3358451571794054,0.25,0.2810136221144475,0.193236987117414,0.453125,0.5885714285714286,0.5705882352941178,0.15625,0.28190476190476194,0.18970588235294117
0,17219,30,28,93,pdf,euclidean,pearson,1.1590517681231156,1.3291977588837256,0.359375,0.3556195581570877,0.2716594171483632,0.46875,0.5942857142857143,0.5323529411764706,0.171875,0.28904761904761905,0.19117647058823528
0,17219,30,27,61,pdf,jaccard,pearson,1.1373449180841868,1.3193894168327396,0.453125,0.433179538780979,0.39662915039531327,0.421875,0.5342857142857143,0.4254901960784313,0.21875,0.3128571428571429,0.2073529411764706
