,algorithm,n_neighbors,n_neighbors_best,n_clusters,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,kmeans,10,0,169,euclidean,pearson,0.6906849667378737,0.8628193308460624,0.4918032786885246,0.4450126420324143,0.4687183980036254,0.4590163934426229,0.5744186046511628,0.5842592592592593,0.3770491803278688,0.3751937984496123,0.3160185185185185
1,kmeans,20,0,32,euclidean,pearson,0.6249059574952184,0.7903163917518194,0.4918032786885246,0.5237507798630637,0.5320391760207507,0.4262295081967213,0.5856589147286823,0.6553174603174604,0.2786885245901639,0.3744186046511627,0.3217592592592592
2,kmeans,30,0,22,euclidean,pearson,0.6256304534550664,0.7787776971801591,0.5081967213114754,0.5840830140374895,0.5916120311487004,0.5245901639344263,0.6872093023255813,0.7180952380952381,0.3278688524590163,0.4023255813953488,0.3426851851851852
3,kmeans,40,0,11,euclidean,pearson,0.594129559866837,0.7366815239845865,0.5901639344262295,0.6119433258497173,0.6327654165354517,0.5409836065573771,0.689922480620155,0.7043386243386246,0.3770491803278688,0.42984496124031,0.3631481481481481
4,kmeans,50,0,57,euclidean,pearson,0.6396665789533321,0.8063079175087003,0.4098360655737705,0.4589618436416655,0.4522395285017513,0.3934426229508196,0.5577519379844962,0.5405687830687832,0.2622950819672131,0.3709302325581395,0.3151851851851851
5,kmeans,60,0,37,euclidean,pearson,0.6666649490794814,0.8426302871954557,0.4262295081967213,0.5160378683155404,0.5106165747316607,0.4262295081967213,0.6007751937984495,0.5979761904761907,0.3278688524590163,0.383720930232558,0.3298148148148147
6,kmeans,60,0,11,squared_euclidean,pearson,0.6091790313358324,0.7342591881033801,0.4918032786885246,0.580160216613747,0.5691128848040202,0.4754098360655737,0.6366666666666668,0.6607936507936508,0.2459016393442623,0.3816666666666666,0.399047619047619
0,kmeans,10,0,164,euclidean,pearson,0.7529126836241244,0.926179397390735,0.4262295081967213,0.4355637021973592,0.4523081136603156,0.5245901639344263,0.6550387596899224,0.6812830687830689,0.3114754098360656,0.3573643410852712,0.318611111111111
1,kmeans,20,0,39,euclidean,pearson,0.7107112191607237,0.8801224627105028,0.4262295081967213,0.4820726618200953,0.4974817797826169,0.360655737704918,0.5162790697674418,0.5767989417989418,0.2786885245901639,0.3763565891472868,0.3914814814814815
2,kmeans,30,0,21,euclidean,pearson,0.6036463569068554,0.7537268079953652,0.5573770491803278,0.5689688386340271,0.6118109483367953,0.4918032786885246,0.6705426356589148,0.7069312169312171,0.3278688524590163,0.3953488372093023,0.3514814814814815
3,kmeans,40,0,12,euclidean,pearson,0.6074646899034769,0.7535447520572854,0.5737704918032787,0.6153192848987521,0.6274151034533906,0.4754098360655737,0.6782945736434108,0.6647089947089948,0.360655737704918,0.4391472868217053,0.3617592592592593
4,kmeans,50,0,8,euclidean,pearson,0.585065288439513,0.7291882045246213,0.5737704918032787,0.63869055772614,0.6385246649913648,0.5245901639344263,0.7527131782945738,0.7826984126984127,0.3278688524590163,0.4554263565891472,0.3431481481481482
5,kmeans,60,0,11,euclidean,pearson,0.594129559866837,0.7366815239845865,0.5901639344262295,0.6119433258497173,0.6327654165354517,0.5409836065573771,0.689922480620155,0.7043386243386246,0.3770491803278688,0.42984496124031,0.3631481481481481
6,kmeans,60,0,18,squared_euclidean,pearson,0.6480930198272734,0.7770984961885247,0.4754098360655737,0.4756857573051575,0.4922253168985059,0.6065573770491803,0.6955284552845528,0.7189655172413792,0.3442622950819672,0.256910569105691,0.2567733990147783
0,kmeans,10,0,100,euclidean,pearson,0.6948515485203511,0.8653247453950725,0.4262295081967213,0.4804976488825041,0.5100701656178716,0.3770491803278688,0.5124031007751938,0.5357539682539684,0.2459016393442623,0.3441860465116279,0.3116666666666666
1,kmeans,20,0,34,euclidean,pearson,0.6597106463394171,0.8231287385944446,0.4754098360655737,0.5260642477274252,0.5557628832441388,0.4590163934426229,0.5806201550387597,0.5877777777777777,0.3442622950819672,0.367829457364341,0.3119444444444444
2,kmeans,30,0,31,euclidean,pearson,0.6657575161770747,0.8486733557312769,0.4754098360655737,0.5218735250037889,0.527192418566118,0.3934426229508196,0.5593023255813953,0.5829497354497355,0.3114754098360656,0.3848837209302326,0.3465740740740741
