,run,kmax,kbest,nclusters,density,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,33812,10,1,247,pdf,cosine,pearson,0.7578896206800356,0.8977511403326451,0.29508196721311475,0.27234902382817877,0.22750996044167682,0.5573770491803278,0.47179487179487184,0.5383333333333333,0.21311475409836064,0.1788461538461539,0.10583333333333336
0,33812,10,8,44,pdf,euclidean,pearson,0.5554025051636264,0.6584872628653352,0.6065573770491803,0.6158197716076445,0.6471393505154956,0.6065573770491803,0.6237179487179488,0.7227777777777777,0.3114754098360656,0.3365384615384616,0.3694047619047619
0,33812,10,10,137,pdf,jaccard,pearson,0.6747397085820145,0.7995874525759059,0.4426229508196721,0.5173646292975204,0.5397565228686829,0.5245901639344263,0.5256410256410257,0.6336309523809524,0.2459016393442623,0.3532051282051283,0.3273214285714286
0,33812,10,1,229,pdf,pearson,pearson,0.8021132218519964,0.9523868197006756,0.3114754098360656,0.3480854710289929,0.3316525852379557,0.4918032786885246,0.4147435897435898,0.49158730158730163,0.18032786885245902,0.2634615384615385,0.21523809523809528
0,33812,10,5,105,pdf,squared_euclidean,pearson,0.5505855747359958,0.6569169705894675,0.5901639344262295,0.5753018479218499,0.6108729056138948,0.5737704918032787,0.5955128205128206,0.6536507936507936,0.3114754098360656,0.3878205128205129,0.3836904761904762
0,33812,20,1,247,pdf,cosine,pearson,0.7578896206800356,0.8977511403326451,0.29508196721311475,0.27234902382817877,0.22750996044167682,0.5573770491803278,0.47179487179487184,0.5383333333333333,0.21311475409836064,0.1788461538461539,0.10583333333333336
0,33812,20,17,8,pdf,euclidean,pearson,0.5560976125086866,0.6574776030483855,0.5901639344262295,0.5965925342017477,0.6340065426716764,0.6065573770491803,0.6237179487179486,0.7233333333333334,0.3114754098360656,0.3673076923076924,0.37565476190476194
0,33812,20,20,55,pdf,jaccard,pearson,0.6886419740308211,0.8124714220768453,0.5573770491803278,0.5824402395516016,0.5991984516354446,0.6229508196721312,0.5378205128205129,0.7141666666666666,0.32786885245901637,0.2980769230769231,0.296547619047619
0,33812,20,1,229,pdf,pearson,pearson,0.8021132218519964,0.9523868197006756,0.3114754098360656,0.3480854710289929,0.3316525852379557,0.4918032786885246,0.4147435897435898,0.49158730158730163,0.18032786885245902,0.2634615384615385,0.21523809523809528
0,33812,20,20,39,pdf,squared_euclidean,pearson,0.5623476343133091,0.6683784078969577,0.5737704918032787,0.5780776711871554,0.6151759994864073,0.6065573770491803,0.6352564102564102,0.6557936507936507,0.3114754098360656,0.37500000000000006,0.33321428571428574
0,33812,30,1,247,pdf,cosine,pearson,0.7578896206800356,0.8977511403326451,0.29508196721311475,0.27234902382817877,0.22750996044167682,0.5573770491803278,0.47179487179487184,0.5383333333333333,0.21311475409836064,0.1788461538461539,0.10583333333333336
0,33812,30,29,4,pdf,euclidean,pearson,0.557338438073184,0.6587036199247773,0.5901639344262295,0.5921178493870564,0.6337118154527578,0.6065573770491803,0.6237179487179486,0.7177777777777778,0.3114754098360656,0.3673076923076924,0.3706547619047619
0,33812,30,29,30,pdf,jaccard,pearson,0.6578696849480803,0.7700268515174442,0.5737704918032787,0.587125435999974,0.6053353223950596,0.6065573770491803,0.6256410256410256,0.7612500000000001,0.3114754098360656,0.33269230769230773,0.28988095238095235
0,33812,30,1,229,pdf,pearson,pearson,0.8021132218519964,0.9523868197006756,0.3114754098360656,0.3480854710289929,0.3316525852379557,0.4918032786885246,0.4147435897435898,0.49158730158730163,0.18032786885245902,0.2634615384615385,0.21523809523809528
0,33812,30,30,17,pdf,squared_euclidean,pearson,0.5559033178998689,0.6577928696815191,0.5245901639344263,0.5683011328096516,0.6251531832674748,0.6065573770491803,0.6391025641025642,0.7120833333333334,0.3114754098360656,0.375,0.36779761904761904
0,33812,40,1,247,pdf,cosine,pearson,0.7578896206800356,0.8977511403326451,0.29508196721311475,0.27234902382817877,0.22750996044167682,0.5573770491803278,0.47179487179487184,0.5383333333333333,0.21311475409836064,0.1788461538461539,0.10583333333333336
0,33812,40,35,2,pdf,euclidean,pearson,0.5576357156130027,0.6587542217103534,0.5901639344262295,0.5906418868822692,0.6311688387040086,0.6065573770491803,0.6237179487179486,0.7177777777777778,0.3114754098360656,0.3673076923076924,0.37065476190476193
0,33812,40,40,17,pdf,jaccard,pearson,0.6018204806843435,0.7151450012440493,0.5409836065573771,0.5800578295018901,0.5899301928533336,0.5409836065573771,0.5108974358974359,0.6477380952380953,0.32786885245901637,0.3032051282051282,0.2898809523809524
0,33812,40,37,28,pdf,pearson,pearson,0.5629702578131186,0.6712535571841259,0.5409836065573771,0.5306067613031398,0.575684014961819,0.6229508196721312,0.6153846153846153,0.6957936507936509,0.3114754098360656,0.3442307692307693,0.35369047619047617
