,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1680024399.753406,76399,opf,5,5,33,NA,NA,0.5454088350113906,0.6023596977488761,0.5724713505029468,0.669650085454709,0.569286545555042
1,1680024401.017306,76399,opf_snn,5,4,127,NA,NA,0.4717865290308466,0.5058815435574374,0.48823952469651416,0.6125251197155216,0.4844856440000634
0,1680024401.717046,76399,opf,10,10,10,NA,NA,0.3904382850673718,0.5202217323440977,0.4460819123443129,0.4662803720114915,0.4415464737903151
1,1680024402.586687,76399,opf_snn,10,7,86,NA,NA,0.5356291660996939,0.574337952966817,0.5543085980163843,0.670772977536064,0.5510393491563816
0,1680024403.470672,76399,opf,15,14,6,NA,NA,0.3904382850673718,0.5202217323440977,0.4460819123443129,0.4662803720114915,0.4415464737903151
1,1680024404.568154,76399,opf_snn,15,10,65,NA,NA,0.3902070659629565,0.43796724124236225,0.41271000731662155,0.5274460789237281,0.4082983178584172
0,1680024405.607622,76399,opf,20,14,6,NA,NA,0.3904382850673718,0.5202217323440977,0.4460819123443129,0.4662803720114915,0.4415464737903151
1,1680024407.000925,76399,opf_snn,20,16,41,NA,NA,0.5354256946034261,0.5464657910063333,0.5408894138059891,0.6727410443771163,0.5376086896861523
0,1680024408.285159,76399,opf,25,25,5,NA,NA,0.36734248190942964,0.5034792068120835,0.424769625781078,0.43934335854950846,0.41999437178604565
1,1680024410.120622,76399,opf_snn,25,20,30,NA,NA,0.6014866391777036,0.6282791530292368,0.6145910361399578,0.7323930026288549,0.6118027849062784
0,1680024411.787573,76399,opf,30,26,4,NA,NA,0.36734248190942964,0.5034792068120835,0.424769625781078,0.43934335854950846,0.41999437178604565
1,1680024413.919812,76399,opf_snn,30,22,27,NA,NA,0.39613183640020405,0.46060976115604846,0.4259445113230297,0.5256382350197456,0.42155324644047204
0,1680024415.911977,76399,opf,35,35,2,NA,NA,0.2210928096661204,0.3965648037539507,0.2839036539715564,0.2641126180136919,0.2771504628221162
1,1680024418.574148,76399,opf_snn,35,24,23,NA,NA,0.25407675352847114,0.24404706425293238,0.24896093533415523,0.34659223289347785,0.24376734275762818
0,1680024420.955724,76399,opf,40,35,2,NA,NA,0.2210928096661204,0.3965648037539507,0.2839036539715564,0.2641126180136919,0.2771504628221162
1,1680024424.016064,76399,opf_snn,40,24,23,NA,NA,0.25407675352847114,0.24404706425293238,0.24896093533415523,0.34659223289347785,0.24376734275762818
