,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679858247.262831,76399,opf,5,5,128,NA,NA,0.003062229827931258,0.00992342227020106,0.004680211581417244,-0.018303904781409516,-0.007457600652622622
1,1679858248.988032,76399,opf_snn,5,4,225,NA,NA,0.0008987169113928136,0.00062328342857168,0.0007360778353851502,0.015558060385385961,-0.012887486001796223
0,1679858250.523261,76399,opf,10,10,56,NA,NA,0.04720267468927362,0.15296437548615924,0.07214301903128359,0.15649247413081435,0.06082790810303077
1,1679858252.420508,76399,opf_snn,10,8,133,NA,NA,0.020283242795784154,0.013455865993702113,0.01617876741681126,0.08485430370236138,0.0030230102774067443
0,1679858254.186818,76399,opf,15,15,30,NA,NA,0.04720267468927362,0.15296437548615924,0.07214301903128359,0.15649247413081435,0.06082790810303077
1,1679858256.444798,76399,opf_snn,15,9,122,NA,NA,0.010580901294417978,0.0058541592517523024,0.007537822088404631,0.05226818580889159,-0.004495190016589571
0,1679858258.50926,76399,opf,20,20,23,NA,NA,0.0,1.0,0.0,0.0,-8.199480270674774e-15
1,1679858261.255097,76399,opf_snn,20,13,79,NA,NA,0.01895100993996892,0.015376284867847265,0.01697751768683022,-0.055613618833527084,0.002820124674620322
0,1679858263.685207,76399,opf,25,25,18,NA,NA,0.0,1.0,0.0,0.0,-8.199480270674774e-15
1,1679858267.042104,76399,opf_snn,25,10,113,NA,NA,0.0021607997898160656,0.0016562954121801896,0.0018752075015789865,0.026144182951641674,-0.012250608976639743
0,1679858269.760141,76399,opf,30,29,15,NA,NA,0.0,1.0,0.0,0.0,-8.199480270674774e-15
1,1679858273.829095,76399,opf_snn,30,15,74,NA,NA,0.03241634723646027,0.01851545954351548,0.023568909243612574,-0.0632001955628693,0.011498092443189774
0,1679858277.085588,76399,opf,35,35,12,NA,NA,0.0,1.0,0.0,0.0,-8.199480270674774e-15
1,1679858281.995602,76399,opf_snn,35,20,59,NA,NA,0.0156930006090054,0.014524909200425592,0.015086378268088365,-0.05181533016329801,0.0004601024335450664
0,1679858285.7517,76399,opf,40,36,11,NA,NA,0.0,1.0,0.0,0.0,-8.199480270674774e-15
1,1679858291.532957,76399,opf_snn,40,18,67,NA,NA,0.01895100993996892,0.015376284867847265,0.01697751768683022,-0.055613618833527084,0.002820124674620322
0,1679858295.721223,76399,opf,45,36,11,NA,NA,0.0,1.0,0.0,0.0,-8.199480270674774e-15
1,1679858302.475652,76399,opf_snn,45,28,50,NA,NA,0.012476125155303996,0.013616457207486247,0.013021373042378558,-0.04678041823662213,-0.0019388607008313408
0,1679858307.343364,76399,opf,50,46,9,NA,NA,0.0,1.0,0.0,0.0,-8.199480270674774e-15
1,1679858315.331549,76399,opf_snn,50,20,59,NA,NA,0.0156930006090054,0.014524909200425592,0.015086378268088365,-0.05181533016329801,0.0004601024335450664
0,1679858320.735721,82678,opf,5,5,124,NA,NA,0.008206155953023476,0.01483482701320205,0.01056698875954283,-0.0378866686124003,-0.004083692727427032
1,1679858322.323241,82678,opf_snn,5,5,180,NA,NA,0.0009147866784353481,0.000859375712103773,0.0008862158925198876,0.017828436305358603,-0.012973658593749705
0,1679858323.880303,82678,opf,10,10,51,NA,NA,0.005394675140780119,0.0029505322767651673,0.0038146836451469273,-0.032245810857435865,-0.006293476676410566
1,1679858325.761794,82678,opf_snn,10,7,137,NA,NA,0.01495627359383382,0.017316797880456904,0.01605020873675161,-0.053847782539939146,0.0016478015114331484
0,1679858327.566897,82678,opf,15,15,28,NA,NA,0.006242643219907782,0.0033401815575804465,0.004351861217931198,-0.03375989166193599,-0.005570857632412363
1,1679858329.829331,82678,opf_snn,15,10,106,NA,NA,2.4423788583521477e-05,1.961190971107646e-05,2.175494678421866e-05,0.0019075753981815725,-0.012988915200652523
0,1679858331.96174,82678,opf,20,20,21,NA,NA,0.007135660421504663,0.0037389048415215178,0.004906781034848074,-0.03513225905917209,-0.0048386423247206295
1,1679858334.704711,82678,opf_snn,20,11,94,NA,NA,0.00010376176824112417,7.647636542013652e-05,8.805376246917163e-05,-0.006536249871216891,-0.012359904446379374
0,1679858337.152224,82678,opf,25,25,15,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858340.499089,82678,opf_snn,25,15,80,NA,NA,0.013098897591384887,0.023679769302976578,0.01686732550574655,0.0802062055406132,0.0023099340403149407
0,1679858343.29766,82678,opf,30,30,10,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858347.23791,82678,opf_snn,30,27,47,NA,NA,0.0025043794164944836,0.0015132606870178805,0.0018865696372578128,-0.02456366428413672,-0.009050001351244914
0,1679858350.555456,82678,opf,35,33,8,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858355.231597,82678,opf_snn,35,18,65,NA,NA,0.00529284865369384,0.0035002904437760767,0.004213855224514377,0.04015972155791237,-0.007399161789011274
0,1679858358.906743,82678,opf,40,38,6,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858364.412305,82678,opf_snn,40,19,61,NA,NA,0.0026404722635256987,0.0015954942151487524,0.0019890894996101582,0.02574972994410214,-0.008946358153890513
0,1679858368.79527,82678,opf,45,38,6,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858375.419188,82678,opf_snn,45,22,57,NA,NA,0.023707920906415336,0.023707920906415336,0.023707920906415336,0.11024016403085662,0.009895117779358396
0,1679858380.334616,82678,opf,50,38,6,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858388.026488,82678,opf_snn,50,35,29,NA,NA,0.034443310806914616,0.022778205000309894,0.02742174104902813,-0.07163776681235377,0.016079378105497404
0,1679858393.625269,99683,opf,5,5,127,NA,NA,0.001423899996447766,0.006782043196680727,0.002353648095382585,-0.009899217729087232,-0.007502601613663992
1,1679858395.224186,99683,opf_snn,5,5,183,NA,NA,0.011635899391263985,0.01052510082808021,0.011052661261340373,-0.04161474778385696,-0.0040550734339826824
0,1679858396.791585,99683,opf,10,10,61,NA,NA,0.001423899996447766,0.006782043196680727,0.002353648095382585,-0.009899217729087232,-0.007502601613663992
1,1679858398.65199,99683,opf_snn,10,7,139,NA,NA,0.004166722202639094,0.0023949647066373305,0.0030416424177676037,0.03187166359052718,-0.01104431669316058
0,1679858400.436916,99683,opf,15,14,28,NA,NA,0.001423899996447766,0.006782043196680727,0.002353648095382585,-0.009899217729087232,-0.007502601613663992
1,1679858402.689594,99683,opf_snn,15,12,94,NA,NA,0.0161495904472766,0.011560037181442929,0.013474729327802233,-0.04690151038762265,-0.001263126650786929
0,1679858404.758868,99683,opf,20,18,22,NA,NA,0.0001845064609710749,4.5654332990846045e-05,7.319682264851438e-05,-0.0015067688121092116,-0.007443471175920224
1,1679858407.485001,99683,opf_snn,20,14,76,NA,NA,0.013131017020827017,0.010882790503612847,0.011901661757853055,-0.043667847376720206,-0.0031292411399884723
0,1679858409.959336,99683,opf,25,25,17,NA,NA,0.01024155037911173,0.0025564144705452077,0.004091532973804161,-0.0067903258251783725,-0.003471501802179937
1,1679858413.316056,99683,opf_snn,25,12,94,NA,NA,0.0161495904472766,0.011560037181442929,0.013474729327802233,-0.04690151038762265,-0.001263126650786929
0,1679858416.145051,99683,opf,30,27,14,NA,NA,0.041788007187523034,0.024019072428547353,0.03050459546716195,0.11721981956346755,0.016806658614913914
1,1679858420.191762,99683,opf_snn,30,18,63,NA,NA,0.01015007120274283,0.01015007120274283,0.01015007120274283,-0.03919335037333709,-0.0049605742407551915
0,1679858423.469588,99683,opf,35,34,11,NA,NA,0.008135229629181851,0.005470547303307068,0.006541950339261271,0.04990566558172891,-0.008119456708559219
1,1679858428.207393,99683,opf_snn,35,15,75,NA,NA,0.020750117429841623,0.012513064655064396,0.015611709086462196,-0.050159325281786786,0.0014880921876553501
0,1679858431.857326,99683,opf,40,34,11,NA,NA,0.008135229629181851,0.005470547303307068,0.006541950339261271,0.04990566558172891,-0.008119456708559219
1,1679858437.508022,99683,opf_snn,40,23,56,NA,NA,0.0161495904472766,0.011560037181442929,0.013474729327802233,-0.04690151038762265,-0.001263126650786929
0,1679858441.791612,99683,opf,45,45,8,NA,NA,0.0042973894586478805,0.008317960075645307,0.005666987482092754,-0.02378655758983098,-0.007713032009772081
1,1679858448.38738,99683,opf_snn,45,30,44,NA,NA,0.0002422835161856109,0.00010781122854222623,0.0001492217974069127,0.005497110752168296,-0.01243682074121209
0,1679858453.328711,99683,opf,50,50,6,NA,NA,0.0057471864028078145,0.008853653737320891,0.00696995486368645,-0.0287880069879602,-0.007278252931603837
1,1679858461.174417,99683,opf_snn,50,28,42,NA,NA,1.13880582642438e-05,4.794972825051566e-06,6.74847988684554e-06,0.0004956075307564298,-0.012172398108944904
0,1679858466.677915,86953,opf,5,5,122,NA,NA,0.0030327311129836132,0.001569601739084235,0.002068594420316721,0.023026245262709678,-0.006803000000777811
1,1679858468.330163,86953,opf_snn,5,5,186,NA,NA,0.00039899329227248697,0.00039899329227248697,0.00039899329227248697,0.011577604411074614,-0.013175925886869196
0,1679858469.875514,86953,opf,10,10,48,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858471.784991,86953,opf_snn,10,8,129,NA,NA,0.0008671209106510515,0.0005429441617084578,0.0006677680983126647,0.014194971859998105,-0.009733413444259641
0,1679858473.568081,86953,opf,15,15,26,NA,NA,0.011030526350597755,0.00424864863721339,0.006134471368329722,0.018144846910729557,-0.0006203835272616396
1,1679858475.882401,86953,opf_snn,15,10,110,NA,NA,0.0033121882784060202,0.0023316662079911742,0.0027367528705346815,0.032211967847573686,-0.008554054557915325
0,1679858477.955294,86953,opf,20,20,20,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858480.716517,86953,opf_snn,20,14,71,NA,NA,0.00016995306820620395,0.0001389582117487748,0.0001529006933161751,-0.008434697105279587,-0.012241892023995603
0,1679858483.145873,86953,opf,25,24,14,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858486.514344,86953,opf_snn,25,15,68,NA,NA,2.8323501925374855e-05,2.4209764118173224e-05,2.6105565187800307e-05,-0.004079892317596208,-0.012660558784396694
0,1679858489.324598,86953,opf,30,28,11,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858493.455379,86953,opf_snn,30,16,67,NA,NA,0.026125439696407585,0.02233095096079705,0.024079627259773872,-0.06965245671384739,0.01169812983290903
0,1679858496.860548,86953,opf,35,35,10,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679858501.707488,86953,opf_snn,35,31,37,NA,NA,0.03541488970418913,0.024930859794821698,0.02926216534533841,-0.07532003572491813,0.018271673129622135
0,1679858505.581915,86953,opf,40,36,8,NA,NA,0.0,1.0,0.0,0.0,0.0
