,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679857725.427653,76399,opf,5,5,250,NA,NA,0.9544663012495485,0.9549872992395677,0.9547267291669196,0.9422842460316535,0.9521691998865572
1,1679857732.415119,76399,opf_snn,5,4,423,NA,NA,0.9581588446283098,0.9581976199665039,0.958178231905119,0.9490569993387038,0.9558169719544937
0,1679857738.888858,76399,opf,10,10,85,NA,NA,0.9453100843250525,0.9455215738723101,0.9454158172711268,0.930648909415426,0.9423332670707338
1,1679857745.949506,76399,opf_snn,10,7,256,NA,NA,0.9557251572268657,0.9564854703831139,0.956105162651114,0.9471446518627612,0.9536248061988553
0,1679857752.940001,76399,opf,15,15,45,NA,NA,0.8917072642837741,0.8977828599023376,0.8947347482998637,0.8420948425967104,0.8887488518567055
1,1679857760.827725,76399,opf_snn,15,9,186,NA,NA,0.9602476335446094,0.9605019286790848,0.9603747642783107,0.9489052680050705,0.9581369548095245
0,1679857768.385112,76399,opf,20,20,25,NA,NA,0.8831840117350062,0.8932893961981345,0.8882079619671991,0.8249072120094721,0.8818222201598623
1,1679857777.123637,76399,opf_snn,20,13,127,NA,NA,0.9389572640131634,0.9397051744824235,0.9393310703732383,0.9208787549492282,0.9359027520399141
0,1679857785.946877,76399,opf,25,25,16,NA,NA,0.8612204837042843,0.8756440017558271,0.8683723538110512,0.7973486236964853,0.8608139684973085
1,1679857796.728139,76399,opf_snn,25,14,127,NA,NA,0.9222474315522323,0.9221941129955082,0.9222207715032119,0.9028305729743291,0.9178296162080058
0,1679857807.199683,76399,opf,30,25,16,NA,NA,0.8612204837042843,0.8756440017558271,0.8683723538110512,0.7973486236964853,0.8608139684973085
1,1679857822.341892,76399,opf_snn,30,21,74,NA,NA,0.8946023979946875,0.8947036634261936,0.8946530278448918,0.8708694397498893,0.8887045232656633
