,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679916844.202399,76399,opf,5,5,1481,1.3774167256529561,-0.011204548180103302,NA,NA,NA,NA,NA
1,1679916974.210629,76399,opf_snn,5,5,1841,1.3974639308710934,-0.06107928976416588,NA,NA,NA,NA,NA
0,1679917103.349401,76399,opf,10,10,611,1.4217050942086416,0.045776739716529846,NA,NA,NA,NA,NA
1,1679917237.131616,76399,opf_snn,10,8,1216,1.473837824822084,-0.05447094142436981,NA,NA,NA,NA,NA
0,1679917371.156501,76399,opf,15,15,355,1.3867982076083922,0.05200036242604256,NA,NA,NA,NA,NA
1,1679917505.456246,76399,opf_snn,15,10,991,1.5567503042922792,-0.04006427526473999,NA,NA,NA,NA,NA
0,1679917638.176761,76399,opf,20,20,265,1.444685433630209,0.110321044921875,NA,NA,NA,NA,NA
1,1679917789.839382,76399,opf_snn,20,14,713,1.5845254988696644,-0.04200749844312668,NA,NA,NA,NA,NA
0,1679917946.765327,76399,opf,25,25,196,1.465422294270271,0.12707646191120148,NA,NA,NA,NA,NA
1,1679918099.209481,76399,opf_snn,25,16,635,1.6835134729064212,-0.030014513060450554,NA,NA,NA,NA,NA
0,1679918248.636808,76399,opf,30,30,165,1.6085248885979129,0.07410643994808197,NA,NA,NA,NA,NA
1,1679918399.240107,76399,opf_snn,30,18,576,1.7195883863372283,-0.03242030367255211,NA,NA,NA,NA,NA
0,1679918544.697125,76399,opf,35,35,137,1.6340186709447826,0.10008002072572708,NA,NA,NA,NA,NA
1,1679918700.794879,76399,opf_snn,35,25,407,1.7807406105680128,-0.0007413140847347677,NA,NA,NA,NA,NA
0,1679918850.748542,76399,opf,40,40,109,1.589205232095656,0.1019347533583641,NA,NA,NA,NA,NA
1,1679919012.912264,76399,opf_snn,40,25,406,1.7807406105680132,-0.0007413140847347677,NA,NA,NA,NA,NA
0,1679919169.292227,76399,opf,45,45,94,1.5701862598476017,0.09864982217550278,NA,NA,NA,NA,NA
1,1679919337.301824,76399,opf_snn,45,28,365,1.7615639958217795,-0.010340932756662369,NA,NA,NA,NA,NA
0,1679919505.934858,76399,opf,50,50,83,1.4782733926352818,0.16310065984725952,NA,NA,NA,NA,NA
1,1679919692.626092,76399,opf_snn,50,28,365,1.7630500459707072,-0.010090571828186512,NA,NA,NA,NA,NA
0,1679919859.999395,82678,opf,5,5,1491,1.5434530945959661,-0.01989937573671341,NA,NA,NA,NA,NA
1,1679919990.694421,82678,opf_snn,5,5,1870,1.40279790090726,-0.059576377272605896,NA,NA,NA,NA,NA
0,1679920121.567135,82678,opf,10,10,600,1.5373073686620813,0.06473231315612793,NA,NA,NA,NA,NA
1,1679920263.628989,82678,opf_snn,10,8,1254,1.5076427631269098,-0.06847141683101654,NA,NA,NA,NA,NA
0,1679920409.675137,82678,opf,15,15,369,1.5535411320945698,0.07855764031410217,NA,NA,NA,NA,NA
1,1679920549.414277,82678,opf_snn,15,12,855,1.6027837594585943,-0.040994010865688324,NA,NA,NA,NA,NA
0,1679920684.614181,82678,opf,20,20,272,1.5531358228930054,0.07708168774843216,NA,NA,NA,NA,NA
1,1679920824.937569,82678,opf_snn,20,14,745,1.6346286664016643,-0.04093027487397194,NA,NA,NA,NA,NA
0,1679920963.80154,82678,opf,25,25,214,1.480037901098715,0.10310856997966766,NA,NA,NA,NA,NA
1,1679921108.876293,82678,opf_snn,25,15,690,1.6328961064858825,-0.03860975801944733,NA,NA,NA,NA,NA
0,1679921252.974675,82678,opf,30,30,172,1.593612412650519,0.10233377665281296,NA,NA,NA,NA,NA
1,1679921405.063302,82678,opf_snn,30,18,576,1.683283380195619,-0.0196071770042181,NA,NA,NA,NA,NA
0,1679921554.356676,82678,opf,35,34,151,1.6246799869097153,0.09054578095674515,NA,NA,NA,NA,NA
1,1679921719.600755,82678,opf_snn,35,22,477,1.6253010278486948,-0.016956282779574394,NA,NA,NA,NA,NA
0,1679921875.078437,82678,opf,40,40,131,1.6031204322878796,0.11050563305616379,NA,NA,NA,NA,NA
1,1679922047.563451,82678,opf_snn,40,30,347,1.7511458078886235,-0.006103693041950464,NA,NA,NA,NA,NA
0,1679922211.329842,82678,opf,45,45,108,1.6352854508429777,0.1077224463224411,NA,NA,NA,NA,NA
1,1679922401.158536,82678,opf_snn,45,30,347,1.7511458078886235,-0.006103693041950464,NA,NA,NA,NA,NA
0,1679922578.92287,82678,opf,50,50,86,1.4657234546181293,0.14832359552383423,NA,NA,NA,NA,NA
1,1679922782.184268,82678,opf_snn,50,26,400,1.7215547683552967,-0.028385775163769722,NA,NA,NA,NA,NA
0,1679922953.665114,99683,opf,5,5,1513,1.461878005289751,-0.023714382201433182,NA,NA,NA,NA,NA
1,1679923091.787645,99683,opf_snn,5,5,1846,1.3719669433056327,-0.05117492005228996,NA,NA,NA,NA,NA
0,1679923230.227055,99683,opf,10,10,620,1.5536251655198778,0.05331973358988762,NA,NA,NA,NA,NA
1,1679923376.641792,99683,opf_snn,10,7,1396,1.4059719132540986,-0.0489753894507885,NA,NA,NA,NA,NA
0,1679923513.057881,99683,opf,15,15,372,1.5889934685598117,0.07524529099464417,NA,NA,NA,NA,NA
1,1679923652.141271,99683,opf_snn,15,11,896,1.5218389585846734,-0.04060256853699684,NA,NA,NA,NA,NA
0,1679923804.090657,99683,opf,20,20,258,1.4990276874549435,0.08680851012468338,NA,NA,NA,NA,NA
1,1679923964.277424,99683,opf_snn,20,14,722,1.5949378731528208,-0.013802428729832172,NA,NA,NA,NA,NA
0,1679924119.82548,99683,opf,25,25,199,1.519179647963797,0.1003502607345581,NA,NA,NA,NA,NA
1,1679924276.65471,99683,opf_snn,25,19,536,1.6411298293768488,-0.035169817507267,NA,NA,NA,NA,NA
0,1679924426.210602,99683,opf,30,30,170,1.656019197067877,0.12683473527431488,NA,NA,NA,NA,NA
1,1679924583.430517,99683,opf_snn,30,20,521,1.6441352760358012,-0.029529176652431488,NA,NA,NA,NA,NA
0,1679924727.727555,99683,opf,35,35,146,1.6744785690859494,0.12519805133342743,NA,NA,NA,NA,NA
1,1679924881.798549,99683,opf_snn,35,21,499,1.6528369967950052,-0.02303713746368885,NA,NA,NA,NA,NA
0,1679925030.098843,99683,opf,40,40,115,1.808921411457559,0.0970897525548935,NA,NA,NA,NA,NA
1,1679925190.856439,99683,opf_snn,40,24,433,1.6893155512396247,-0.014026482589542866,NA,NA,NA,NA,NA
0,1679925342.959493,99683,opf,45,45,99,1.6704628462348659,0.12786222994327545,NA,NA,NA,NA,NA
1,1679925509.527389,99683,opf_snn,45,23,448,1.6889027503871108,-0.013260864652693272,NA,NA,NA,NA,NA
0,1679925666.966909,99683,opf,50,50,91,1.676860167173212,0.11628412455320358,NA,NA,NA,NA,NA
1,1679925839.829621,99683,opf_snn,50,26,401,1.7131250785505299,-0.008695856668055058,NA,NA,NA,NA,NA
0,1679926002.018977,86953,opf,5,5,1473,1.5401482054772675,-0.01642727479338646,NA,NA,NA,NA,NA
1,1679926133.169247,86953,opf_snn,5,5,1876,1.430616319614894,-0.0750713050365448,NA,NA,NA,NA,NA
0,1679926263.310955,86953,opf,10,10,618,1.5688066299373686,0.036054547876119614,NA,NA,NA,NA,NA
1,1679926395.706565,86953,opf_snn,10,9,1104,1.526444794356192,-0.05197242274880409,NA,NA,NA,NA,NA
0,1679926527.358981,86953,opf,15,15,362,1.5598813329875603,0.09450114518404007,NA,NA,NA,NA,NA
1,1679926664.10045,86953,opf_snn,15,11,916,1.6236347437193408,-0.04398994520306587,NA,NA,NA,NA,NA
