,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679884647.441337,76399,opf,5,5,1075,0.9262279785304433,0.18423283100128174,NA,NA,NA,NA,NA
1,1679884716.470768,76399,opf_snn,5,5,1264,0.8189924524581015,0.1750234216451645,NA,NA,NA,NA,NA
0,1679884784.178265,76399,opf,10,10,532,1.0985328078769923,0.16460810601711273,NA,NA,NA,NA,NA
1,1679884853.637682,76399,opf_snn,10,9,808,0.9428801342772117,0.16503146290779114,NA,NA,NA,NA,NA
0,1679884923.03887,76399,opf,15,15,324,1.313443048771503,0.13672931492328644,NA,NA,NA,NA,NA
1,1679884994.930598,76399,opf_snn,15,14,543,1.0092498229918063,0.17874717712402344,NA,NA,NA,NA,NA
0,1679885067.185888,76399,opf,20,20,218,1.411977819851221,0.1395643800497055,NA,NA,NA,NA,NA
1,1679885149.75157,76399,opf_snn,20,17,461,1.0889097419878222,0.17111411690711975,NA,NA,NA,NA,NA
0,1679885228.733535,76399,opf,25,25,160,1.4848964902081774,0.09543866664171219,NA,NA,NA,NA,NA
1,1679885311.399408,76399,opf_snn,25,21,364,1.172319571110707,0.15668803453445435,NA,NA,NA,NA,NA
0,1679885391.330751,76399,opf,30,30,118,1.5525212139847187,0.0889977440237999,NA,NA,NA,NA,NA
1,1679885473.759605,76399,opf_snn,30,26,283,1.2159361643826478,0.16195058822631836,NA,NA,NA,NA,NA
0,1679885553.843308,76399,opf,35,35,83,1.6549926936507537,0.08311992138624191,NA,NA,NA,NA,NA
1,1679885639.202043,76399,opf_snn,35,30,259,1.2784679283159799,0.14037728309631348,NA,NA,NA,NA,NA
0,1679885721.988032,76399,opf,40,40,72,1.6311998562431331,0.08892764896154404,NA,NA,NA,NA,NA
1,1679885812.14652,76399,opf_snn,40,36,204,1.3561119140700806,0.15745913982391357,NA,NA,NA,NA,NA
0,1679885899.151766,76399,opf,45,42,65,1.6739282639162691,0.0995635911822319,NA,NA,NA,NA,NA
1,1679885995.398512,76399,opf_snn,45,42,180,1.3716140012086349,0.12665976583957672,NA,NA,NA,NA,NA
0,1679886087.100072,76399,opf,50,49,59,1.8134772538203838,0.08908342570066452,NA,NA,NA,NA,NA
1,1679886191.756673,76399,opf_snn,50,44,167,1.433138844098222,0.13704067468643188,NA,NA,NA,NA,NA
0,1679886286.473491,82678,opf,5,5,1120,0.9105693249949323,0.19637590646743774,NA,NA,NA,NA,NA
1,1679886355.90521,82678,opf_snn,5,5,1314,0.8175270117037153,0.1680702269077301,NA,NA,NA,NA,NA
0,1679886425.870219,82678,opf,10,10,545,1.1400299101302964,0.15616630017757416,NA,NA,NA,NA,NA
1,1679886498.508154,82678,opf_snn,10,10,736,0.9293610628172522,0.18559345602989197,NA,NA,NA,NA,NA
0,1679886568.443222,82678,opf,15,15,319,1.2577278634518745,0.14703360199928284,NA,NA,NA,NA,NA
1,1679886641.041912,82678,opf_snn,15,15,515,1.0369278091947225,0.17284658551216125,NA,NA,NA,NA,NA
0,1679886713.068489,82678,opf,20,20,213,1.4376203168140178,0.10713379085063934,NA,NA,NA,NA,NA
1,1679886787.938539,82678,opf_snn,20,18,427,1.104908912393878,0.16293396055698395,NA,NA,NA,NA,NA
0,1679886861.639704,82678,opf,25,25,155,1.5155853144165348,0.10110118240118027,NA,NA,NA,NA,NA
1,1679886939.916958,82678,opf_snn,25,22,354,1.1389310740368694,0.16994540393352509,NA,NA,NA,NA,NA
0,1679887016.597209,82678,opf,30,30,112,1.6131160176342951,0.08812553435564041,NA,NA,NA,NA,NA
1,1679887097.446222,82678,opf_snn,30,26,299,1.1727668258460928,0.1539323478937149,NA,NA,NA,NA,NA
0,1679887176.95532,82678,opf,35,35,95,1.739074019420236,0.07923053205013275,NA,NA,NA,NA,NA
1,1679887262.532183,82678,opf_snn,35,31,254,1.2498878170660046,0.17143291234970093,NA,NA,NA,NA,NA
0,1679887345.585849,82678,opf,40,39,84,1.7314877332345886,0.07995442301034927,NA,NA,NA,NA,NA
1,1679887435.579455,82678,opf_snn,40,31,254,1.2511100278381655,0.17064931988716125,NA,NA,NA,NA,NA
0,1679887520.955037,82678,opf,45,45,69,1.6274395655649416,0.0890810638666153,NA,NA,NA,NA,NA
1,1679887615.823381,82678,opf_snn,45,35,223,1.304538070228826,0.14541247487068176,NA,NA,NA,NA,NA
0,1679887705.408052,82678,opf,50,50,58,1.5691125634512475,0.08346035331487656,NA,NA,NA,NA,NA
1,1679887806.110381,82678,opf_snn,50,44,169,1.4079304461896183,0.12959519028663635,NA,NA,NA,NA,NA
0,1679887900.319241,99683,opf,5,5,1088,0.8726246226820144,0.18897487223148346,NA,NA,NA,NA,NA
1,1679887968.795741,99683,opf_snn,5,5,1284,0.831595489313428,0.1417675018310547,NA,NA,NA,NA,NA
0,1679888036.427485,99683,opf,10,10,544,1.131713241442343,0.16855764389038086,NA,NA,NA,NA,NA
1,1679888106.037558,99683,opf_snn,10,10,729,0.914416137411453,0.14718979597091675,NA,NA,NA,NA,NA
0,1679888175.44311,99683,opf,15,15,324,1.336145035327412,0.11562328785657883,NA,NA,NA,NA,NA
1,1679888247.391716,99683,opf_snn,15,14,548,1.0206685848339618,0.17595846951007843,NA,NA,NA,NA,NA
0,1679888318.378387,99683,opf,20,20,222,1.4657405586070338,0.12029847502708435,NA,NA,NA,NA,NA
1,1679888393.060684,99683,opf_snn,20,18,424,1.115331618786747,0.14498284459114075,NA,NA,NA,NA,NA
0,1679888466.581073,99683,opf,25,25,162,1.4960376425834123,0.08367877453565598,NA,NA,NA,NA,NA
1,1679888544.236478,99683,opf_snn,25,23,333,1.130535191857958,0.15511643886566162,NA,NA,NA,NA,NA
0,1679888620.448269,99683,opf,30,30,112,1.6212390685227909,0.08959245681762695,NA,NA,NA,NA,NA
1,1679888701.927731,99683,opf_snn,30,25,303,1.204028807077473,0.14308007061481476,NA,NA,NA,NA,NA
0,1679888780.631433,99683,opf,35,35,89,1.7791614849255903,0.07170609384775162,NA,NA,NA,NA,NA
1,1679888865.505015,99683,opf_snn,35,31,239,1.2930369684201377,0.12759821116924286,NA,NA,NA,NA,NA
0,1679888947.812825,99683,opf,40,40,66,1.8364787766190374,0.08605474978685379,NA,NA,NA,NA,NA
1,1679889038.260134,99683,opf_snn,40,33,221,1.3414625989111493,0.11533255875110626,NA,NA,NA,NA,NA
0,1679889124.246397,99683,opf,45,40,67,1.823895987089859,0.0872860848903656,NA,NA,NA,NA,NA
1,1679889219.32841,99683,opf_snn,45,41,177,1.3669620304342143,0.11649022251367569,NA,NA,NA,NA,NA
0,1679889309.652862,99683,opf,50,50,54,1.7214265472066106,0.0867392048239708,NA,NA,NA,NA,NA
1,1679889410.653163,99683,opf_snn,50,33,221,1.3414625989111493,0.11533255875110626,NA,NA,NA,NA,NA
0,1679889503.796962,86953,opf,5,5,1095,0.8988241289928658,0.18147873878479004,NA,NA,NA,NA,NA
1,1679889571.838066,86953,opf_snn,5,5,1298,0.8574482067076422,0.17606297135353088,NA,NA,NA,NA,NA
0,1679889638.963446,86953,opf,10,10,547,1.0985552849498705,0.1558285653591156,NA,NA,NA,NA,NA
1,1679889708.664827,86953,opf_snn,10,10,757,0.9804037923626959,0.1574736088514328,NA,NA,NA,NA,NA
0,1679889777.74524,86953,opf,15,15,320,1.2855200779284623,0.12528680264949799,NA,NA,NA,NA,NA
1,1679889849.55119,86953,opf_snn,15,15,519,1.1228991127532382,0.1477929651737213,NA,NA,NA,NA,NA
0,1679889920.871944,86953,opf,20,20,223,1.3710391009947565,0.11103503406047821,NA,NA,NA,NA,NA
1,1679889995.622894,86953,opf_snn,20,17,461,1.0985472467026163,0.14664989709854126,NA,NA,NA,NA,NA
0,1679890069.229132,86953,opf,25,25,164,1.453998453263033,0.10455642640590668,NA,NA,NA,NA,NA
1,1679890147.295879,86953,opf_snn,25,22,355,1.1831627324772667,0.1190999373793602,NA,NA,NA,NA,NA
0,1679890223.233954,86953,opf,30,30,124,1.56315837619174,0.10261791944503784,NA,NA,NA,NA,NA
1,1679890304.356935,86953,opf_snn,30,23,356,1.1664809863941417,0.129128098487854,NA,NA,NA,NA,NA
0,1679890383.196186,86953,opf,35,35,99,1.7308585603880258,0.08182032406330109,NA,NA,NA,NA,NA
1,1679890467.99703,86953,opf_snn,35,30,258,1.2286461582252275,0.13684992492198944,NA,NA,NA,NA,NA
0,1679890550.169958,86953,opf,40,40,80,1.7607858467029374,0.07968731969594955,NA,NA,NA,NA,NA
1,1679890639.865388,86953,opf_snn,40,31,242,1.2899235750813178,0.13352063298225403,NA,NA,NA,NA,NA
0,1679890725.426754,86953,opf,45,45,68,1.706730862371063,0.07728737592697144,NA,NA,NA,NA,NA
1,1679890819.941954,86953,opf_snn,45,35,231,1.2979492335795157,0.13478359580039978,NA,NA,NA,NA,NA
0,1679890910.118827,86953,opf,50,48,65,1.7637727384536015,0.07090608030557632,NA,NA,NA,NA,NA
1,1679891011.520097,86953,opf_snn,50,39,212,1.2951513347761352,0.12450773268938065,NA,NA,NA,NA,NA
0,1679891105.0463,33812,opf,5,5,1092,0.8954586817537341,0.20307771861553192,NA,NA,NA,NA,NA
1,1679891172.975509,33812,opf_snn,5,5,1291,0.8136067050017998,0.1719294637441635,NA,NA,NA,NA,NA
0,1679891240.892119,33812,opf,10,10,545,1.1129733097628498,0.17653298377990723,NA,NA,NA,NA,NA
1,1679891311.294727,33812,opf_snn,10,9,797,0.9685972483550996,0.16931967437267303,NA,NA,NA,NA,NA
