,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679856223.190116,76399,opf,5,5,61,NA,NA,0.7567760105367554,0.8253107883129743,0.7895589626138596,0.26993194992858943,0.3307885727969425
1,1679856224.934429,76399,opf_snn,5,5,80,NA,NA,0.8266819830042009,0.8630162595406702,0.8444584658233772,0.42430771180533555,0.46272181153073666
0,1679856226.560667,76399,opf,10,9,34,NA,NA,0.5243103384409387,0.775997062129227,0.6257955343417189,0.07378266878548986,0.19198061225333013
1,1679856228.335428,76399,opf_snn,10,6,68,NA,NA,0.7834277632797647,0.8472136675564373,0.8140731567864323,0.3175273564983682,0.3977607186046465
0,1679856229.98831,76399,opf,15,15,23,NA,NA,0.3701639742253308,0.7554649239468372,0.4968705033960952,0.03094490497077954,0.1372921646849931
1,1679856232.087162,76399,opf_snn,15,11,51,NA,NA,0.7604295936509721,0.8462576790856315,0.8010511988870389,0.3256798782505128,0.3895380197949962
0,1679856234.094715,76399,opf,20,18,16,NA,NA,0.23323521665436392,0.7562285545195028,0.3565145807093521,0.013602213345296259,0.090061938352069
1,1679856236.545041,76399,opf_snn,20,11,51,NA,NA,0.7604295936509721,0.8462576790856315,0.8010511988870389,0.3256798782505128,0.3895380197949962
0,1679856238.811186,76399,opf,25,25,9,NA,NA,0.09822413900108119,0.7292541024461312,0.1731292805971552,0.0012913425738750536,0.018688545343652396
1,1679856241.761398,76399,opf_snn,25,15,37,NA,NA,0.7343455070397319,0.8261944390063969,0.7775669898905941,0.24818806327598159,0.3291341701402338
0,1679856243.852594,76399,opf,30,30,5,NA,NA,0.06859177672426688,0.5923725389769705,0.12294728767010007,-0.002042683874123365,-0.005775133137995653
1,1679856247.143939,76399,opf_snn,30,17,36,NA,NA,0.6661828309568594,0.816101521865019,0.7335607653811227,0.20299555710765768,0.2935482132231812
0,1679856249.42177,76399,opf,35,32,4,NA,NA,0.056341373800100694,0.5831952644681457,0.10275571539676652,-0.0017114683012457422,-0.002993889683779118
1,1679856253.255793,76399,opf_snn,35,15,37,NA,NA,0.7343455070397319,0.8261944390063969,0.7775669898905941,0.24818806327598159,0.3291341701402338
